File,Bug_ID
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandlerWithEngineBase.java,HIVE-4761
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/HiveIcebergTestUtils.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestConflictingDataFiles.java,HIVE-4761
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergOutputCommitter.java,"HIVE-3225,HIVE-2402"
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergSelects.java,HIVE-3408
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergSerDe.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergStorageHandlerLocalScan.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergStorageHandlerNoScan.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergStorageHandlerWithEngine.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergStorageHandlerWithMultipleCatalogs.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveIcebergV2.java,"HIVE-3579,HIVE-3225"
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestHiveShell.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestTables.java,"HIVE-4761,HIVE-2402"
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestUtilPhaser.java,HIVE-4761
iceberg/patched-iceberg-api/src/main/java/org/apache/iceberg/exceptions/CommitStateUnknownException.java,HIVE-2402
iceberg/patched-iceberg-core/src/main/java/org/apache/iceberg/BaseMetadataTable.java,HIVE-2402
iceberg/patched-iceberg-core/src/main/java/org/apache/iceberg/BaseMetastoreCatalog.java,HIVE-2402
iceberg/patched-iceberg-core/src/main/java/org/apache/iceberg/BaseMetastoreTableOperations.java,HIVE-2402
iceberg/patched-iceberg-core/src/main/java/org/apache/iceberg/BaseTable.java,HIVE-2402
iceberg/patched-iceberg-core/src/main/java/org/apache/iceberg/CatalogProperties.java,HIVE-2402
