Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,org.apache.hadoop.streaming.DumpTypedBytes,11,0,10,1,2,0,,,122,10,84,55,59,6,,0.33,16,28
Public Class,org.apache.hadoop.streaming.Environment,20,1,17,2,4,0,,,112,9,73,53,54,9,,0.41,16,30
Public Class,org.apache.hadoop.streaming.FailApp,8,1,7,1,2,0,,,53,6,23,10,15,3,,1.04,6,24
Public Class,org.apache.hadoop.streaming.HadoopStreaming,21,0,21,1,4,0,,,65,2,43,34,31,6,,0.49,7,21
Public Class,org.apache.hadoop.streaming.JarBuilder,16,0,15,1,4,0,,,200,12,157,110,115,9,,0.20,37,32
Public Class,org.apache.hadoop.streaming.LoadTypedBytes,8,0,8,0,1,0,,,91,9,58,37,42,4,,0.41,10,24
Public Class,org.apache.hadoop.streaming.PathFinder,13,0,9,3,2,0,,,94,7,50,28,36,5,,0.80,11,40
Public Class,org.apache.hadoop.streaming.PipeCombiner,8,0,8,0,2,0,,,34,0,17,9,10,3,,1.00,4,17
Public Class,org.apache.hadoop.streaming.PipeMapper,10,0,9,1,2,0,,,141,16,93,53,59,7,,0.34,20,32
Public Class,org.apache.hadoop.streaming.PipeReducer,11,0,9,1,2,1,,,143,14,98,57,63,9,,0.32,21,31
Public Class,org.apache.hadoop.streaming.RawBytesMapApp,6,0,6,0,1,0,,,55,5,33,16,26,3,,0.58,7,19
Public Class,org.apache.hadoop.streaming.RawBytesReduceApp,8,0,8,0,2,0,,,65,5,43,26,33,3,,0.42,8,18
Public Class,org.apache.hadoop.streaming.StderrApp,16,2,12,2,3,0,,,73,7,40,25,27,6,,0.65,10,26
Public Class,org.apache.hadoop.streaming.StreamAggregate,8,0,7,0,2,0,,,50,4,25,10,17,3,,0.84,5,21
Public Class,org.apache.hadoop.streaming.StreamInputFormat,44,6,35,3,5,0,,,70,8,37,22,23,5,,0.68,5,25
Public Class,org.apache.hadoop.streaming.StreamJob,31,2,27,2,4,0,,,1032,94,843,646,568,45,,0.12,131,101
Public Class,org.apache.hadoop.streaming.StreamKeyValUtil,15,0,6,9,1,0,,,129,8,43,18,26,3,,1.81,10,78
Public Class,org.apache.hadoop.streaming.StreamUtil,13,0,12,1,3,0,,,180,15,134,88,93,6,,0.24,25,32
Public Class,org.apache.hadoop.streaming.StreamXmlRecordReader,18,1,16,1,4,0,,,285,35,216,151,166,14,,0.22,50,48
Public Class,org.apache.hadoop.streaming.TestAutoInputFormat,60,5,55,0,6,0,,,89,11,61,47,47,6,,0.28,6,17
Public Class,org.apache.hadoop.streaming.TestClassWithNoPackage,8,0,7,1,1,0,,,43,2,18,9,11,1,,1.28,2,23
Public Class,org.apache.hadoop.streaming.TestDumpTypedBytes,53,3,50,1,4,0,,,74,5,52,42,41,4,,0.35,4,18
Public Class,org.apache.hadoop.streaming.TestFileArgs,10,0,9,1,1,0,,,99,10,64,38,45,3,,0.42,8,27
Public Class,org.apache.hadoop.streaming.TestGzipInput,5,0,5,0,1,0,,,35,2,13,5,7,1,,1.54,2,20
Public Class,org.apache.hadoop.streaming.TestLoadTypedBytes,50,4,46,2,4,0,,,71,6,48,39,40,4,,0.40,4,19
