File,Is_Public_Class
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastLongHashTable.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastMultiKeyHashMap.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastMultiKeyHashMultiSet.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastMultiKeyHashSet.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastStringHashMap.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastStringHashMultiSet.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastStringHashSet.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastTableContainer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/history/HiveHistory.java,No
ql/src/java/org/apache/hadoop/hive/ql/hooks/ATSHook.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/hooks/ReadEntity.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/hooks/WriteEntity.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/AcidInputFormat.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/CombineHiveInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/HiveInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/RCFileInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/RecordUpdater.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/SymbolicInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/SymlinkTextInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/SyntheticFileId.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/arrow/Serializer.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/merge/MergeFileTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcOutputFormat.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcStruct.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/WriterImpl.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/orc/encoded/EncodedReaderImpl.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/ParquetFooterInputFromCache.java,No
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/io/rcfile/truncate/ColumnTruncateTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/lib/DefaultGraphWalker.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbLockManager.java,No
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java,No
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/zookeeper/CuratorFrameworkSingleton.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/zookeeper/ZooKeeperHiveLockManager.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveMetaStoreChecker.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveStorageHandler.java,No
ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting/JsonMetaDataFormatter.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/optimizer/BucketMapJoinOptimizer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConvertJoinMapJoin.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMRFileSink1.java,Yes
